,货币供应量,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
0,Money Supply,,,,,,,,,,,,,,
1,,,,,,,,,,,单位：亿元人民币,,,,
2,,,,,,,,,,,Unit:100 Million Yuan,,,,
3,,,,,,,,,,,,,,,
4,项目 Item,,,2024.01,2024.02,2024.03,2024.04,2024.05,2024.06,2024.07,2024.08,2024.09,2024.1,2024.11,2024.12
5,,,,,,,,,,,,,,,
6, 货币和准货币（M2）,,,2976250.2,2995572.97,3047952.16,3011941.98,3018506.73,3050161.54,3033060.78,3050461.27,3094798.24,3097092.01,3119587.27,3135322.3
7, Money & Quasi-money,,,,,,,,,,,,,,
8,, 货币（M1）,,694197.88,665916.09,685808.9,660065.69,646842.47,660610.52,632296.54,630238.09,628236.54,633357.47,650904.16,670959.41
9,, Money,,,,,,,,,,,,,
10,,,流通中货币（M0）,121398.54,121009.93,117210.5,117310.55,117062.72,117736.77,118840.46,119472.57,121830.0,122447.04,124180.26,128194.16
11,,,Currency in Circulation,,,,,,,,,,,,
12,,,,,,,,,,,,,,,
13,     注：自2022年12月起，“流通中货币（M0）”含流通中数字人民币。12月末流通中数字人民币余额为136.1亿元。修订后，2022年各月末M1、M2增速无明显变化。修订后“流通中货币（M0）”增速如下：,,,,,,,,,,,,,,
14,"         From December 2022, e-CNY in Circulation is covered in Currency in Circulation.The amount of e-CNY in Circulation at end December 2022 is RMB 13.61 billion. After applying the new method, M1 and",,,,,,,,,,,,,,
15,"         M2 growth rates remain unchanged, M0 growth rates in 2022 are updated correspondingly:",,,,,,,,,,,,,,
16,,,,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09,2022.1,2022.11,2022.12
17,,,流通中货币（M0）,0.185,0.058,0.1,0.115,0.135,0.139,0.139,0.143,0.136,0.144,0.141,0.153
