,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,,Money Stock (Monthly),Money Stock (Monthly),Money Stock (Monthly),Money Stock (Monthly),Money Stock (Monthly),Money Stock (Monthly),Money Stock (Monthly),Money Stock (Monthly),Money Stock (Monthly),Money Stock (Monthly),Money Stock (Monthly),Money Stock (Monthly),Money Stock (Monthly),Money Stock (Monthly),Money Stock (Monthly),Money Stock (Monthly)
1,Name of time-series,M2/Percent changes from the previous year in average amounts outstanding/Money Stock (Formerseries for data through March 2004),M3/Percent changes from the previous year in average amounts outstanding/Money Stock (Formerseries for data through March 2004),_M1/Percent changes from the previous year in average amounts outstanding/Money Stock (Formerseries for data through March 2004),L/Percent changes from the previous year in average amounts outstanding/Money Stock (Formerseries for data through March 2004),__Currency in Circulation/Percent changes from the previous year in average amounts outstanding/Money Stock (Formerseries for data through March 2004),__Deposit Money/Percent changes from the previous year in average amounts outstanding/Money Stock (Formerseries for data through March 2004),_Quasi-money/Percent changes from the previous year in average amounts outstanding/Money Stock (Formerseries for data through March 2004),_Certificates of Deposit (CDs)/Percent changes from the previous year in average amounts outstanding/Money Stock (Formerseries for data through March 2004),M2/Average Amounts Outstanding/Money Stock,M3/Average Amounts Outstanding/Money Stock,_M1/Average Amounts Outstanding/Money Stock,L/Average Amounts Outstanding/Money Stock,__Currency in Circulation/Average Amounts Outstanding/Money Stock,__Deposit Money/Average Amounts Outstanding/Money Stock,_Quasi-money/Average Amounts Outstanding/Money Stock,_Certificates of Deposit (CDs)/Average Amounts Outstanding/Money Stock
2,Series code,MD02'MAM1YAM2M2MO,MD02'MAM1YAM3M3MO,MD02'MAM1YAM3M1MO,MD02'MAM1YABLBLMO,MD02'MAM1YAM3CCMO,MD02'MAM1YAM3DMMO,MD02'MAM1YAM3QMMO,MD02'MAM1YAM3CDMO,MD02'MAM1NAM2M2MO,MD02'MAM1NAM3M3MO,MD02'MAM1NAM3M1MO,MD02'MAM1NABLBLMO,MD02'MAM1NAM3CCMO,MD02'MAM1NAM3DMMO,MD02'MAM1NAM3QMMO,MD02'MAM1NAM3CDMO
3,Unit,%,%,%,%,%,%,%,%,100 million yen,100 million yen,100 million yen,100 million yen,100 million yen,100 million yen,100 million yen,100 million yen
4,Start of the time-series,1968/01,1997/01,1964/01,1981/01,1964/01,1964/01,1968/01,1980/05,2003/04,2003/04,2003/04,2003/04,2003/04,2003/04,2003/04,2003/04
5,End of the time-series,2026/01,2026/01,2026/01,2026/01,2026/01,2026/01,2026/01,2026/01,2026/01,2026/01,2026/01,2026/01,2026/01,2026/01,2026/01,2026/01
6,Last update,2026/02/10,2026/02/10,2026/02/10,2026/02/10,2026/02/10,2026/02/10,2026/02/10,2026/02/10,2026/02/10,2026/02/10,2026/02/10,2026/02/10,2026/02/10,2026/02/10,2026/02/10,2026/02/10
7,1980/01,10.6,ND,6.5,ND,8.6,6,11.7,ND,ND,ND,ND,ND,ND,ND,ND,ND
8,1980/02,10.8,ND,7,ND,9.2,6.4,11.6,ND,ND,ND,ND,ND,ND,ND,ND,ND
9,1980/03,10.6,ND,8.1,ND,9.7,7.6,11,ND,ND,ND,ND,ND,ND,ND,ND,ND
